name,id,type,,
Airports,thethirdpole.airports,switchable,,
Settlements,thethirdpole.settlements,switchable,,
Soils,thethirdpole.soils,switchable,,
Ecoregions,thethirdpole.ecoregions,switchable,,
Desertification,thethirdpole.desertification,switchable,,
Basemap - Cryosphere,thethirdpole.31faf541,base,,
,,,,
,,,,
,,,,
