name,id,type,,
Reservoirs and Hydropower Facilities,thethirdpole.dam_hotspots,switchable,,
Bridges,thethirdpole.bridges,switchable,,
Canals,thethirdpole.Canals,switchable,,
Population Density,thethirdpole.pop_density,switchable,,
Basemap - Water Infrastructure,thethirdpole.2f907956,base,,
,,,,
,,,,
,,,,
,,,,
